# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
54784 53.5 0.967997676782142
55296 54 0.968004320864118
55808 54.5 0.968010850064052
56320 55 0.96801740343095
56832 55.5 0.968023678310083
57344 56 0.968029595586254
57856 56.5 0.968035643528729
58368 57 0.968041972779571
58880 57.5 0.968048076541693
59392 58 0.968053852430691
59904 58.5 0.968059729926981
60416 59 0.968065466635677
60928 59.5 0.968070172947466
61440 60 0.9680735450755
61952 60.5 0.968075796540617
62464 61 0.968076672672191
62976 61.5 0.968075831310892
63488 62 0.968073868685229
64000 62.5 0.968071819263935
64512 63 0.968069903399253
65024 63.5 0.968067598260707
65536 64 0.968064575378992
66048 64.5 0.968060863218023
66560 65 0.968056469316116
67072 65.5 0.968051517686616
67584 66 0.96804652178298
68096 66.5 0.968041989016906
68608 67 0.96803791366651
69120 67.5 0.968034031066964
69632 68 0.968030353803419
70144 68.5 0.968027102779685
70656 69 0.968024333225015
71168 69.5 0.968021959767356
71680 70 0.968019931637479
72192 70.5 0.968018112444454
72704 71 0.968016248152605
73216 71.5 0.968014314106553
73728 72 0.968012636074362
74240 72.5 0.968011429160979
74752 73 0.96801045683962
75264 73.5 0.968009368505831
75776 74 0.968008173613886
76288 74.5 0.968007175709275
76800 75 0.96800656084227
77312 75.5 0.968006198876822
77824 76 0.96800581477678
78336 76.5 0.968005317715877
78848 77 0.968004932098204
79360 77.5 0.968004900762763
79872 78 0.968005107940148
80384 78.5 0.968005222805167
80896 79 0.968005186243324
81408 79.5 0.968005264442895
81920 80 0.968005617323769
82432 80.5 0.968006088900254
82944 81 0.968006443292394
83456 81.5 0.968006621343367
83968 82 0.968006773888761
84480 82.5 0.968007104935099
84992 83 0.968007606164383
85504 83.5 0.968008011414242
86016 84 0.968008175296803
86528 84.5 0.968008327197901
87040 85 0.968008711354552
87552 85.5 0.968009196125571
88064 86 0.968009495742117
88576 86.5 0.968009543754069
89088 87 0.968009439409168
89600 87.5 0.968009248942734
90112 88 0.968008984503818
90624 88.5 0.968008621186939
91136 89 0.968008152113133
91648 89.5 0.968007717741951
92160 90 0.968007503325649
92672 90.5 0.968007432144377
93184 91 0.96800721401218
93696 91.5 0.968006753705002
94208 92 0.968006245995421
94720 92.5 0.968005834729199
95232 93 0.968005427705118
95744 93.5 0.96800490305075
96256 94 0.968004316974795
96768 94.5 0.968003799055866
97280 95 0.968003310875636
97792 95.5 0.968002671571688
98304 96 0.968001878285542
98816 96.5 0.968001204883831
99328 97 0.968000820427338
99840 97.5 0.968000495802191
100352 98 0.967999911407203
100864 98.5 0.967999120999303
101376 99 0.967998472176959
101888 99.5 0.96799811924943
102400 100 0.967997847735693
102912 100.5 0.967997436652679
103424 101 0.967996969262818
103936 101.5 0.967996600069206
104448 102 0.967996209894495
104960 102.5 0.967995586889564
105472 103 0.967994817537891
105984 103.5 0.967994176107993
106496 104 0.967993713275902
107008 104.5 0.967993251404119
107520 105 0.967992720587071
108032 105.5 0.967992222493558
108544 106 0.967991778009048
109056 106.5 0.96799125893725
109568 107 0.967990637716898
110080 107.5 0.967990112093739
110592 108 0.967989829117136
111104 108.5 0.967989617867539
111616 109 0.967989218361039
112128 109.5 0.967988689317293
112640 110 0.967988308496078
113152 110.5 0.967988114970833
113664 111 0.967987866773242
114176 111.5 0.967987451109468
114688 112 0.967987025706724
115200 112.5 0.967986709425038
115712 113 0.967986402142333
116224 113.5 0.967986006939004
116736 114 0.967985624519788
117248 114.5 0.967985369008699
117760 115 0.967985124723666
118272 115.5 0.967984704760228
118784 116 0.967984183307644
119296 116.5 0.967983811683547
119808 117 0.967983622790025
120320 117.5 0.967983385114128
120832 118 0.967982965087332
121344 118.5 0.967982494435956
121856 119 0.967982134372534
122368 119.5 0.967981859435467
122880 120 0.967981537086183
123392 120.5 0.96798110555902
123904 121 0.967980614105545
124416 121.5 0.967980146987265
124928 122 0.967979746476422
125440 122.5 0.967979379888531
125952 123 0.967978968783561
126464 123.5 0.967978480269321
126976 124 0.967977983411129
127488 124.5 0.967977561386899
128000 125 0.967977170534886
128512 125.5 0.967976673061749
129024 126 0.9679760383689
129536 126.5 0.967975408986144
130048 127 0.967974895978581
130560 127.5 0.967974406595792
131072 128 0.967973787804935
131584 128.5 0.967973074514815
132096 129 0.9679724491862
132608 129.5 0.967971964171368
133120 130 0.967971462763669
133632 130.5 0.967970831028649
134144 131 0.967970173016236
134656 131.5 0.967969621155778
135168 132 0.96796910838618
135680 132.5 0.967968489117531
136192 133 0.967967792571313
136704 133.5 0.9679671809438
137216 134 0.967966695966407
137728 134.5 0.967966203361252
138240 135 0.967965598049794
138752 135.5 0.967964944248392
139264 136 0.967964363548209
139776 136.5 0.967963861763783
140288 137 0.967963342977831
140800 137.5 0.967962761602568
141312 138 0.967962172548076
141824 138.5 0.967961629045112
142336 139 0.967961115887968
142848 139.5 0.967960601465709
143360 140 0.967960080949235
143872 140.5 0.967959554838214
144384 141 0.967959026978078
144896 141.5 0.967958520532197
145408 142 0.967958047924474
145920 142.5 0.967957583263924
146432 143 0.967957096648844
146944 143.5 0.967956595303797
147456 144 0.96795611574858
147968 144.5 0.967955681108996
148480 145 0.967955263065862
148992 145.5 0.967954805241194
149504 146 0.967954304316358
150016 146.5 0.967953824693013
150528 147 0.967953402521238
151040 147.5 0.967952995854262
151552 148 0.967952563756574
152064 148.5 0.967952128638187
152576 149 0.967951726504968
153088 149.5 0.967951350386365
153600 150 0.967950971605694
154112 150.5 0.96795058429668
154624 151 0.967950208659113
155136 151.5 0.967949861189822
155648 152 0.967949533116599
156160 152.5 0.967949198816037
156672 153 0.967948843911965
157184 153.5 0.967948488463812
157696 154 0.967948173395113
158208 154.5 0.96794790585142
158720 155 0.967947637618388
159232 155.5 0.967947330852613
159744 156 0.967947016618311
160256 156.5 0.967946745905143
160768 157 0.967946513321529
161280 157.5 0.967946274873187
161792 158 0.967946021398371
162304 158.5 0.967945790664185
162816 159 0.967945603614147
163328 159.5 0.967945426235213
163840 160 0.967945224183578
164352 160.5 0.967945025157286
164864 161 0.967944876666853
165376 161.5 0.967944765035973
165888 162 0.967944636420304
166400 162.5 0.967944481808483
166912 163 0.967944344647076
167424 163.5 0.967944253118671
167936 164 0.967944187430062
168448 164.5 0.9679441156705
168960 165 0.967944037873626
169472 165.5 0.967943977967387
169984 166 0.967943938476684
170496 166.5 0.967943895665964
171008 167 0.967943846427804
171520 167.5 0.967943819022672
172032 168 0.96794382486041
172544 168.5 0.967943838901073
173056 169 0.96794384152474
173568 169.5 0.967943849624614
174080 170 0.967943889705379
174592 170.5 0.967943958377672
175104 171 0.967944029877012
175616 171.5 0.967944092349724
176128 172 0.967944154536591
176640 172.5 0.96794422643192
177152 173 0.967944314438701
177664 173.5 0.967944424181241
178176 174 0.96794455214958
178688 174.5 0.967944686488656
179200 175 0.967944825688646
179712 175.5 0.967944983639168
180224 176 0.96794516647748
180736 176.5 0.967945357067209
181248 177 0.967945538971269
181760 177.5 0.967945726128102
182272 178 0.967945943847591
182784 178.5 0.967946184719635
183296 179 0.967946416139437
183808 179.5 0.967946637689638
184320 180 0.967946893065614
184832 180.5 0.967947203037991
185344 181 0.96794752325381
185856 181.5 0.967947803893258
186368 182 0.967948061829996
186880 182.5 0.967948354456275
187392 183 0.967948699739579
187904 183.5 0.967949055962038
188416 184 0.967949380778585
188928 184.5 0.967949689573564
189440 185 0.967950032284658
189952 185.5 0.967950415865872
190464 186 0.967950793044156
190976 186.5 0.967951139440222
191488 187 0.967951487858548
192000 187.5 0.967951866237423
192512 188 0.96795225356243
193024 188.5 0.967952621052095
193536 189 0.967952980279074
194048 189.5 0.96795336436757
194560 190 0.967953774928411
195072 190.5 0.967954176344618
195584 191 0.967954551878353
196096 191.5 0.967954932660916
196608 192 0.967955344559515
197120 192.5 0.967955762257867
197632 193 0.967956154882244
198144 193.5 0.967956542845761
198656 194 0.967956960407963
199168 194.5 0.967957387699284
199680 195 0.96795777767752
200192 195.5 0.967958138309237
200704 196 0.967958525699156
201216 196.5 0.967958954583916
201728 197 0.9679593776444
202240 197.5 0.967959765508539
202752 198 0.967960148914289
203264 198.5 0.967960558857816
203776 199 0.967960975480644
204288 199.5 0.967961368512592
204800 200 0.967961749259096
205312 200.5 0.967962146485251
205824 201 0.96796255816317
206336 201.5 0.967962959937668
206848 202 0.967963344609632
207360 202.5 0.967963728050106
207872 203 0.967964122572493
208384 203.5 0.967964521647818
208896 204 0.967964915126917
209408 204.5 0.967965308301391
209920 205 0.967965712155419
210432 205.5 0.96796612169644
210944 206 0.967966520790461
211456 206.5 0.967966903497459
211968 207 0.967967279412181
212480 207.5 0.967967663194966
212992 208 0.967968058976801
213504 208.5 0.967968450883228
214016 209 0.967968821685869
214528 209.5 0.967969181009472
215040 210 0.967969551504212
215552 210.5 0.967969930592665
216064 211 0.967970293732996
