# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
349696 341.5 0.0012646721956615
350208 342 0.00126465956618102
350720 342.5 0.001264648482803
351232 343 0.00126463897910826
351744 343.5 0.00126463109876652
352256 344 0.00126462488997761
352768 344.5 0.0012646204016394
353280 345 0.00126461768536016
353792 345.5 0.00126461679421243
354304 346 0.00126461778083423
354816 346.5 0.00126462070275197
355328 347 0.001264625625828
355840 347.5 0.00126463261581035
356352 348 0.00126464173142394
356864 348.5 0.0012646530330056
357376 349 0.0012646665911756
357888 349.5 0.00126468247629054
358400 350 0.00126470074371207
358912 350.5 0.001264721440605
359424 351 0.00126474462377226
359936 351.5 0.00126477035703958
360448 352 0.00126479868904466
360960 352.5 0.00126482964410774
361472 353 0.00126486323825033
361984 353.5 0.00126489949552386
362496 354 0.00126493844363099
363008 354.5 0.00126498009829063
363520 355 0.00126502445485379
364032 355.5 0.00126507149178921
364544 356 0.00126512118163429
365056 356.5 0.00126517350162276
365568 357 0.00126522843088194
366080 357.5 0.00126528593145537
366592 358 0.00126534593671527
367104 358.5 0.00126540836839842
367616 359 0.0012654731606721
368128 359.5 0.00126554025292843
368640 360 0.00126560956070963
369152 360.5 0.00126568097244207
369664 361 0.00126575437911212
370176 361.5 0.00126582968867959
370688 362 0.0012659068021857
371200 362.5 0.00126598559310375
371712 363 0.00126606592511258
372224 363.5 0.0012661476786107
372736 364 0.00126623074300084
373248 364.5 0.00126631499002987
373760 365 0.00126640027387395
374272 365.5 0.00126648645808228
374784 366 0.00126657342608881
375296 366.5 0.00126666105937555
375808 367 0.00126674921769429
376320 367.5 0.00126683775129827
376832 368 0.00126692652817712
377344 368.5 0.0012670154409088
377856 369 0.00126710438880599
378368 369.5 0.00126719326293858
378880 370 0.00126728195238356
379392 370.5 0.00126737035806395
379904 371 0.0012674583929759
380416 371.5 0.00126754597255198
380928 372 0.00126763301440385
381440 372.5 0.00126771944777388
381952 373 0.00126780521443927
382464 373.5 0.00126789025866562
382976 374 0.00126797452439556
383488 374.5 0.00126805796372298
384000 375 0.00126814053861672
384512 375.5 0.0012682222108697
385024 376 0.0012683029385452
385536 376.5 0.00126838268535257
386048 377 0.00126846142545627
386560 377.5 0.0012685391364694
387072 378 0.00126861579644125
387584 378.5 0.00126869139140822
388096 379 0.00126876591901964
388608 379.5 0.00126883938285777
389120 380 0.00126891179013944
389632 380.5 0.00126898315538685
390144 381 0.00126905349908258
390656 381.5 0.00126912284456287
391168 382 0.00126919122561812
391680 382.5 0.00126925869411452
392192 383 0.00126932530752311
392704 383.5 0.00126939111079338
393216 384 0.00126945614504573
393728 384.5 0.00126952047393153
394240 385 0.00126958418508688
394752 385.5 0.00126964736165085
395264 386 0.00126971006618356
395776 386.5 0.00126977235728469
