# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
232960 227.5 0.125988403227956
233472 228 0.12600402993996
233984 228.5 0.126019738445159
234496 229 0.126035540107242
235008 229.5 0.126051442826807
235520 230 0.126067444570721
236032 230.5 0.126083540645292
236544 231 0.126099734087787
237056 231.5 0.126116036530862
237568 232 0.126132459282736
238080 232.5 0.126149005042419
238592 233 0.126165669633806
239104 233.5 0.126182451958224
239616 234 0.126199360075117
240128 234.5 0.126216404910503
240640 235 0.126233588945269
241152 235.5 0.126250905057386
241664 236 0.12626834744635
242176 236.5 0.126285919326655
242688 237 0.126303626463034
243200 237.5 0.126321466298871
243712 238 0.126339428582577
244224 238.5 0.126357505539404
244736 239 0.126375695355558
245248 239.5 0.126393994129482
245760 240 0.126412390061189
246272 240.5 0.12643086960695
246784 241 0.126449425319641
247296 241.5 0.126468051957908
247808 242 0.126486736787235
248320 242.5 0.126505460285255
248832 243 0.126524207115552
249344 243.5 0.126542970140305
249856 244 0.126561740488047
250368 244.5 0.126580498672688
250880 245 0.126599220614572
251392 245.5 0.126617889695439
251904 246 0.126636496980719
252416 246.5 0.126655029754496
252928 247 0.126673465346144
253440 247.5 0.126691778391656
253952 248 0.126709950428685
254464 248.5 0.126727969340038
254976 249 0.126745821524593
255488 249.5 0.12676348792616
256000 250 0.126780947335123
256512 250.5 0.126798181184316
257024 251 0.126815174933883
257536 251.5 0.126831916403234
258048 252 0.126848392957999
258560 252.5 0.12686458917535
259072 253 0.126880487531918
259584 253.5 0.126896072961308
260096 254 0.126911336617493
260608 254.5 0.126926273191355
261120 255 0.12694087427811
261632 255.5 0.126955126872596
262144 256 0.12696901966222
262656 256.5 0.1269825484051
263168 257 0.126995712707942
263680 257.5 0.127008509102652
264192 258 0.127020930419014
264704 258.5 0.127032971609701
265216 259 0.127044633088741
265728 259.5 0.12705591758171
266240 260 0.127066826130511
