# Scalar ASCII output created by CarpetIOScalar
# created on cn127.nlhpc.cl by student32 on Nov 13 2023 at 23:38:57-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET_dx1/output-0000/tov_ET_dx1.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
187904 91.75 0.00127313918728789
188416 92 0.0012731330379944
188928 92.25 0.00127312829411413
189440 92.5 0.0012731251808439
189952 92.75 0.00127312348335204
190464 93 0.0012731228037752
190976 93.25 0.00127312308524504
191488 93.5 0.00127312472491756
192000 93.75 0.00127312807907313
192512 94 0.00127313297204355
193024 94.25 0.00127313886706006
193536 94.5 0.00127314553211267
194048 94.75 0.00127315338697928
194560 95 0.00127316308080468
195072 95.25 0.0012731747731016
195584 95.5 0.00127318794568165
196096 95.75 0.00127320195791289
196608 96 0.00127321672670566
197120 96.25 0.00127323280669395
197632 96.5 0.00127325081904437
198144 96.75 0.00127327084566081
198656 97 0.00127329238823111
199168 97.25 0.00127331488510042
199680 97.5 0.00127333824023264
200192 97.75 0.00127336285717666
200704 98 0.00127338919631977
201216 98.25 0.00127341733831127
201728 98.5 0.0012734469825833
202240 98.75 0.00127347782128161
202752 99 0.00127350984389369
203264 99.25 0.00127354325664087
203776 99.5 0.00127357816626696
204288 99.75 0.00127361443005094
204800 100 0.00127365184084209
205312 100.25 0.00127369040586431
205824 100.5 0.00127373037942163
206336 100.75 0.00127377200864717
206848 101 0.00127381527241501
207360 101.25 0.00127385988146911
207872 101.5 0.00127390552397483
208384 101.75 0.00127395211962007
208896 102 0.00127399987423183
209408 102.25 0.00127404910523477
209920 102.5 0.00127409997015037
210432 102.75 0.00127415230796131
210944 103 0.0012742057481982
211456 103.25 0.00127426001948414
211968 103.5 0.00127431516115581
212480 103.75 0.00127437141435756
212992 104 0.00127442893947873
213504 104.25 0.00127448771028917
214016 104.5 0.00127454765944138
214528 104.75 0.00127460878166298
215040 105 0.00127467101158366
215552 105.25 0.00127473412174412
216064 105.5 0.00127479792161397
216576 105.75 0.00127486255260065
217088 106 0.00127492841287744
217600 106.25 0.00127499569696778
218112 106.5 0.00127506410247541
218624 106.75 0.00127513309688274
219136 107 0.00127520242951001
219648 107.25 0.00127527228342409
220160 107.5 0.00127534295638534
220672 107.75 0.00127541452693688
221184 108 0.00127548687009428
221696 108.25 0.0012755598698716
222208 108.5 0.00127563348370372
222720 108.75 0.00127570762842855
223232 109 0.00127578214236991
223744 109.25 0.00127585693244491
224256 109.5 0.00127593210526102
224768 109.75 0.0012760078716548
225280 110 0.00127608430461965
225792 110.25 0.00127616122173
226304 110.5 0.00127623832395504
226816 110.75 0.00127631543916471
227328 111 0.00127639261524054
227840 111.25 0.00127646998675986
228352 111.5 0.00127654759520229
228864 111.75 0.00127662537459998
229376 112 0.00127670327279224
229888 112.25 0.00127678128410211
230400 112.5 0.00127685932323605
230912 112.75 0.00127693716829502
231424 113 0.00127701465464106
231936 113.25 0.00127709190686039
232448 113.5 0.00127716924749152
232960 113.75 0.00127724682124021
233472 114 0.00127732438416045
233984 114.25 0.0012774015181063
234496 114.5 0.00127747800111478
235008 114.75 0.00127755392916028
235520 115 0.0012776295506603
236032 115.25 0.00127770505800374
236544 115.5 0.00127778047341864
237056 115.75 0.00127785560521222
237568 116 0.00127793010674397
238080 116.25 0.00127800370431979
238592 116.5 0.00127807645278334
239104 116.75 0.0012781487174859
239616 117 0.00127822081700806
240128 117.25 0.00127829267229797
240640 117.5 0.00127836385173869
241152 117.75 0.00127843397620346
241664 118 0.00127850305125042
242176 118.25 0.00127857138746429
242688 118.5 0.00127863922925696
243200 118.75 0.00127870650765505
243712 119 0.00127877295258444
244224 119.25 0.00127883838340686
244736 119.5 0.00127890283117633
